Rc,审核结果,上一年归母净利润（万元）,承诺期业绩增长率,前三年承诺覆盖率,静态市盈率,动态市盈率,成立年限,大股东持股比例,最近一个完整会计年度对第一大客户的销售占比,最近一个完整会计年度对第一供应商的采购占比,注入资产净资产账面值(万元),D/(D+E),总资产增长率,归母权益增长率,净利润增长率,总资产周转率,存货周转率,应收账款周转率,固定资产周转率,流动比率,资产负债率,经营杠杆（EBITDA/EBIT),（固定资产+土地）/归母权益,在建工程/归母权益,净资产收益率,毛利率,经营性现金流/收入,研发支出占比
0.01,发行股份购买资产获有条件通过,13066,0.07,0.19,17.67,17.74,7.62,0.84,0.33,0.07,162910.41,0,-0.19,0.06,0.09,2.35,9.09,55.99,11.43,1.15,0.56,1.3,0.88,0.01,0.08,0.04,0.06,0
0.01,发行股份购买资产获无条件通过,37985,0.38,0.23,26.99,17.58,5.76,0.65,0.21,0.03,226666.9,0.04,0.07,0.27,0.27,0.73,5.24,5.91,7.42,1.49,0.78,1.46,0.53,0.01,0.21,0.24,-0.01,0
0.015,发行股份购买资产获无条件通过,6075,0.34,0.34,17.44,13.24,17.36,0.99,0,0,10494.49,0.01,0.53,1.43,0.43,1.88,0,-4.41,8.03,1.14,0.6,1.39,0.52,0,0.82,0.61,0.41,0.04
0.03,发行股份购买资产获无条件通过,4147,0.31,0.26,19.33,11.45,7.14,0.74,0.24,0.6,15291.39,0.16,0.09,0.38,0.26,1.21,3.31,120.21,125.83,1.42,0.71,1.03,0.04,0,0.32,0.29,-0.07,0.14
0.02,发行股份购买资产获无条件通过,5806,0.03,0.35,9.04,9.64,6.72,0.5,0.14,0.33,34048.3,0,0.29,0.16,0.28,0.96,2.57,-4.9,22.85,1.5,0.64,1.35,0.13,0,0.21,0.23,0.09,0.01
0.04,发行股份购买资产获无条件通过,14479,0.34,0.26,20.02,20.95,9.04,0.42,0.55,0.24,25000,0,0.09,-0.28,-0.2,1.07,6.91,2.43,6.83,1.21,0.66,1.19,0.46,0.03,0.49,0.34,0.3,0.06
0.025,发行股份购买资产获无条件通过,1093,0.26,0.25,19.95,14.97,15.79,0.41,0.07,0.25,5597.58,0.06,0.23,0.02,0,2.48,26.73,11.76,131.46,1.64,0.6,1.07,0.04,0,0.19,0.13,0,0.02
0.02,发行股份购买资产获无条件通过,3767,0.14,0.3,13.01,11.4,8.58,0.51,0.12,0.1,4944.89,0.06,0.48,-0.18,1.32,1.8,8.76,16.51,292.9,1.13,0.84,1.03,0.03,0,0.69,0.18,0.09,0.03
0.04,发行股份购买资产获无条件通过,1121,0.46,0.14,85.3,14.06,12.3,0.48,0.16,0.46,592.88,0,4.44,42.35,51.95,5.66,0,86.19,1213.94,1.45,0.68,1,0.02,0,1.39,0.12,0.01,0
0.027,发行股份购买资产获有条件通过,12217,0.28,0.25,21.53,14.6,7.21,0.93,0.56,0.05,29828.94,0,0.17,2.11,4.11,0.79,1.04,-1.37,16.32,1.08,0.82,1.05,0.58,0.01,1.03,0.25,0.04,0.03
